game[1] stats={'a': -1, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=27.0
game[2] stats={'a': -0.9, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=48.2
game[3] stats={'a': -0.8, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=76.0
game[4] stats={'a': -0.7000000000000001, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=25.2
game[5] stats={'a': -0.6000000000000001, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=22.8
game[6] stats={'a': -0.5000000000000001, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=11.2
game[7] stats={'a': -0.40000000000000013, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=10.6
game[8] stats={'a': -0.30000000000000016, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=0.2
game[9] stats={'a': -0.20000000000000015, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=0.8
game[10] stats={'a': -0.10000000000000014, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[11] stats={'a': -1.3877787807814457e-16, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[12] stats={'a': -1, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=29.8
game[13] stats={'a': -0.9, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=67.0
game[14] stats={'a': -0.8, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=52.6
game[15] stats={'a': -0.7000000000000001, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=48.6
game[16] stats={'a': -0.6000000000000001, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=10.4
game[17] stats={'a': -0.5000000000000001, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=9.8
game[18] stats={'a': -0.40000000000000013, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=12.0
game[19] stats={'a': -0.30000000000000016, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=0.8
game[20] stats={'a': -0.20000000000000015, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=0.2
game[21] stats={'a': -0.10000000000000014, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=0.8
game[22] stats={'a': -1.3877787807814457e-16, 'b': 0.1, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[23] stats={'a': -1, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=67.4
game[24] stats={'a': -0.9, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=33.4
game[25] stats={'a': -0.8, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=108.0
game[26] stats={'a': -0.7000000000000001, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=31.0
game[27] stats={'a': -0.6000000000000001, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=7.8
game[28] stats={'a': -0.5000000000000001, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=11.8
game[29] stats={'a': -0.40000000000000013, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=0.8
game[30] stats={'a': -0.30000000000000016, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=2.4
game[31] stats={'a': -0.20000000000000015, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=0.8
game[32] stats={'a': -0.10000000000000014, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[33] stats={'a': -1.3877787807814457e-16, 'b': 0.2, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[34] stats={'a': -1, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=48.2
game[35] stats={'a': -0.9, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=35.8
game[36] stats={'a': -0.8, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=28.8
game[37] stats={'a': -0.7000000000000001, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=48.8
game[38] stats={'a': -0.6000000000000001, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=13.4
game[39] stats={'a': -0.5000000000000001, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=2.4
game[40] stats={'a': -0.40000000000000013, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=9.2
game[41] stats={'a': -0.30000000000000016, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=2.6
game[42] stats={'a': -0.20000000000000015, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[43] stats={'a': -0.10000000000000014, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[44] stats={'a': -1.3877787807814457e-16, 'b': 0.30000000000000004, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[45] stats={'a': -1, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=60.0
game[46] stats={'a': -0.9, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=44.2
game[47] stats={'a': -0.8, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=24.0
game[48] stats={'a': -0.7000000000000001, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=37.8
game[49] stats={'a': -0.6000000000000001, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=26.2
game[50] stats={'a': -0.5000000000000001, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=19.2
game[51] stats={'a': -0.40000000000000013, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=11.8
game[52] stats={'a': -0.30000000000000016, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=7.4
game[53] stats={'a': -0.20000000000000015, 'b': 0.4, 'c': -1, 'd': -1, 'e': -1} media=2.8
--------------------------------------------
game[1] stats={'a': -1, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=28.4
game[1] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=9.6
game[2] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=3.8
game[3] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[4] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': -1, 'e': -1} media=31.2
game[5] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': -1, 'e': -1} media=11.8
game[6] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[7] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': -1, 'e': -1} media=48.8
game[8] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': -1, 'e': -1} media=10.8
game[9] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': -1, 'e': -1} media=0.0
